description,canonicalTag
"BLACK SALT","salt"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"RED LENTILS, RED","lentils"
"HOT TOASTED SESAME OIL, HOT TOASTED","oil"
"SILKEN EXTRA FIRM TOFU","tofu"
"BADIA COCONUT MILK 13.5 FL OZ","coconut milk"
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK","almond milk"
"ALL-PURPOSE FLOUR","flour"
"GRANULATED SUGAR","sugar"
"COCONUT MILK, UNSWEETENED","coconut milk"
"ACTIVE DRY YEAST","yeast"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"PURE OLIVE OIL","olive oil"
"GRANULATED WHITE SUGAR","sugar"
"LIGHTLIFE TEMPEH CUBES TERIYAKI, 6 OZ","tempeh"
"SOUTHWEST TEMPEH CUBES","tempeh"
"ACTIVE DRY YEAST","yeast"
"WHIPPED UNSALTED BUTTER","butter"
"UNSALTED BUTTER","butter"
"WHOLE MILK","milk"
"GRANULATED SUGAR","sugar"
"CARAMEL ALMOND MILK CREAMER, CARAMEL","almond milk"
"LENTILS","lentils"
"ORIGINAL SWEETENED ALMOND MILK, ORIGINAL SWEETENED","almond milk"
"GLUTEN FREE ORGANIC COCONUT FLOUR","coconut flour"
"MARINARA SAUCE","pizza sauce"
"WHITE PEACH COCONUT MILK DRINK, WHITE PEACH","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"AVOCADO OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"OLIVE OIL, MILD","olive oil"
"OLIVE OIL, MILD","olive oil"
"MARINARA SAUCE","pizza sauce"
"MILD TOMATO SAUCE","pizza sauce"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"MISO ORGANIC TOFU, MISO","tofu"
"CANE SUGAR","sugar"
"KOREAN-INSPIRED SWEET CHILI OVEN-BAKED BITE SIZE TOFU CUBES MARINATED IN A SWEET & SPICY KOREAN-INSPIRED CHILI SAUCE ORGANIC TOSS'ABLES, KOREAN-INSPIRED SWEET CHILI","tofu"
"TABLE SALT","salt"
"SALTED BUTTER","butter"
"UNSALTED BUTTER","butter"
"TOMATO SAUCE","pizza sauce"
"ALMOND FLOUR TORTILLAS","almond flour"
"RED LENTILS, RED","lentils"
"BROWN LENTILS","lentils"
"SELF-RISING FLOUR","flour"
"OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"MARINARA SAUCE","pizza sauce"
"MARINARA SAUCE","pizza sauce"
"MARINARA SAUCE","pizza sauce"
"FINE SEA SALT","salt"
"EXTRA VIRGIN  OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"SILKEN ORGANIC TOFU","tofu"
"SILKEN FIRM TOFU","tofu"
"PAMELA'S ALMOND FLOUR, 14 OZ","almond flour"
"Generic placeholder for pure cans coconut milk","coconut milk"
"Generic placeholder for pure canned coconut milk","coconut milk"
"COCONUT MILK","coconut milk"
"VEGETABLE OIL","oil"
"WHOLE WHEAT FLOUR","flour"
"WHOLE MILK","milk"
"Blue Diamond Almond Breeze Unsweetened Almond Milk","almond milk"
"Silk Unsweetened Almond Milk","almond milk"
"Califia Farms Unsweetened Almond Milk","almond milk"
"Pure salt","salt"
"Pure sugar","sugar"
"Pure flour","flour"
"Pure milk","milk"
"Pure butter","butter"
"FRENCH VANILLA ORGANIC COCONUT MILK CREAMER, FRENCH VANILLA","coconut milk"
"ENRICHED RICE FLOUR","rice flour"
"PREMIUM EXTRA FIRM TOFU","tofu"
"PREMIUM MEDIUM FIRM TOFU","tofu"
"LIGHT UNSWEETENED ORGANIC COCONUT MILK","coconut milk"
"UNSWEETENED ORGANIC COCONUT MILK","coconut milk"
"ALMOND FLOUR","almond flour"
"ALMOND MILK CHOCOLATE PROMISES, ALMOND MILK CHOCOLATE","almond milk"
"CHOCOLATE PREMIUM PLANT-BASED ALMOND MILK, CHOCOLATE","almond milk"
"WHOLE MILK","milk"
"SALT","salt"
"GRANULATED SUGAR","sugar"
"TOASTED SESAME OIL, TOASTED","oil"
"KOSHER SALT","salt"
"SWEET BBQ TOFU BAKED, BBQ","tofu"
"THE ORIGINAL TOFU SHIRATAKI NOODLES","tofu"
"VANILLA ALMOND MILK CREAMER, VANILLA","almond milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"RAW HULLED SUNFLOWER SEEDS","sunflower seeds"
"KOSHER SALT","salt"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"ORGANIC POWDERED SUGAR","sugar"
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK","almond milk"
"MARINARA SAUCE","pizza sauce"
"BROWN RICE FLOUR","rice flour"
"WHITE RICE FLOUR","rice flour"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORIGINAL TEMPEH","tempeh"
"WHITE ALMOND FLOUR","almond flour"
"MEDIUM EXTRA VIRGIN OLIVE OIL, MEDIUM","olive oil"
"MEDIUM EXTRA VIRGIN OLIVE OIL, MEDIUM","olive oil"
"EXTRA FIRM ORGANIC TOFU, EXTRA FIRM","tofu"
"MEDIUM EXTRA VIRGIN OLIVE OIL, MEDIUM","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"BIG SUR BREAKFAST SEASONED TOFU SCRAMBLE, SAVORY POTATO & SEITAN BURRITO, BIG SUR BREAKFAST","tofu"
"SESAME GINGER MARINATED BAKED TOFU, SESAME GINGER","tofu"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"TERIYAKI MARINATED BAKED TOFU, TERIYAKI","tofu"
"SHELLED SUNFLOWER SEEDS","sunflower seeds"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"SUPER-FINE ALMOND FLOUR","almond flour"
"MANGO COCONUT MILK DRINK, MANGO","coconut milk"
"STRAWBERRY COCONUT MILK DRINK, STRAWBERRY","coconut milk"
"ALMOND MILK & COCONUT NON-DAIRY WHIPPED TOPPING, ALMOND MILK","almond milk"
"IBERIA COCONUT MILK, 13.5 FL OZ","coconut milk"
"MARINARA SAUCE","pizza sauce"
"COCONUT MILK POWDER INSTANT, COCONUT","coconut milk"
"KA-ME COCONUT MILK, 13.5 FL OZ","coconut milk"
"VEGETABLE OIL","oil"
"IODIZED SALT","salt"
"COCONUT MILK NON-DAIRY WHIPPED TOPPING, COCONUT MILK","coconut milk"
"Blue Diamond Almond Flour","almond flour"
"Native Forest Organic Coconut Milk","coconut milk"
"Arrowhead Mills Brown Rice Flour","rice flour"
"UNSALTED BUTTER","butter"
"SALTED BUTTER","butter"
"UNSWEETENED LITE COCONUT MILK, UNSWEETENED","coconut milk"
"SALTED BUTTER","butter"
"FRESH ROASTED SUNFLOWER SEEDS","sunflower seeds"
"KROGER, LITE COCONUT MILK","coconut milk"
"LITE COCONUT MILK","coconut milk"
"SUNFLOWER SEEDS","sunflower seeds"
"SEA SALT","salt"
"SILKEN ORGANIC TOFU, SILKEN","tofu"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORGANIC, UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"ORGANIC, UNREFINED COCONUT FLOUR","coconut flour"
"ORGANIC, UNSWEETENED LIGHT COCONUT MILK, UNSWEETENED","coconut milk"
"IODIZED SALT","salt"
"ORIGINAL ALMOND MILK, ORIGINAL","almond milk"
"flour","flour"
"butter","butter"
"milk","milk"
"olive oil","olive oil"
"canola oil","oil"
"vegetable oil","oil"
"UNSWEETENED VANILLA FLAVORED ALMOND MILK, UNSWEETENED VANILLA","almond milk"
"whole milk","milk"
"tomato sauce","pizza sauce"
"confectioners sugar","sugar"
"banana","banana"
"SEA SALT","salt"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"PREMIUM ALMOND FLOUR","almond flour"
"LENTILS","lentils"
"MARINARA SAUCE","pizza sauce"
"SEA SALT","salt"
"ORGANIC COCONUT FLOUR","coconut flour"
"MARINARA SAUCE","pizza sauce"
"CAJUN TOFU BURGER, CAJUN","tofu"
"AVOCADO OIL","oil"
"AVOCADO OIL","oil"
"AVOCADO OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CANOLA OIL","oil"
"AVOCADO OIL","oil"
"TOMATO SAUCE","pizza sauce"
"POWDERED CONFECTIONERS SUGAR","sugar"
"LENTILS","lentils"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"VEGETABLE OIL","oil"
"VEGETABLE OIL","oil"
"UNSWEETENED ORGANIC LIGHT COCONUT MILK, UNSWEETENED","coconut milk"
"UNSWEETENED ORGANIC COCONUT MILK, UNSWEETENED","coconut milk"
"SHIN GREEN MUSHROOM & FRIED TOFU RAMYUN NOODLES WITH SEASONING MIX, SHIN GREEN MUSHROOM & FRIED TOFU","tofu"
"CANOLA OIL","oil"
"WHOLE MILK","milk"
"ORGANIC ORIGINAL UNSWEETENED ALMOND MILK","almond milk"
"CHIAO KUO, COCONUT MILK DRINK","coconut milk"
"MILD OLIVE OIL, MILD","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"Bob's Red Mill Blanched Almond Flour","almond flour"
"BARIDI COFFEE COLD BREW, ALMOND MILK","almond milk"
"GRANULATED SUGAR","sugar"
"SESAME OIL","oil"
"PREMIUM COCONUT MILK","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CANOLA OIL","oil"
"MANGO COCONUT MILK DRINK WITH NATA DE COCO, MANGO","coconut milk"
"LENTILS","lentils"
"BERRY BERRY APPLE, STRAWBERRY, BLUEBERRY, PUMPKIN SEED, DATE, COCONUT MILK, SWEET POTATO ORGANIC DAIRY-FREE SMOOTHIE, BERRY BERRY","coconut milk"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"KOSHER SALT","salt"
"VEGAN TOFU EGGPLANT GREEN CURRY WITH SPROUTED BROWN RICE, EGGPLANT, MUSHROOM AND TOFU, VEGAN TOFU EGGPLANT GREEN CURRY","tofu"
"VANILLA ALMOND MILK, VANILLA","almond milk"
"BLACK SESAME OIL","oil"
"ROASTED SUNFLOWER SEEDS, ROASTED","sunflower seeds"
"BROWN LENTILS, BROWN","lentils"
"CARIBBEAN DREAMS COCONUT MILK POWDER, 1.76 OZ","coconut milk"
"WAKANDAN COCONUT RICE SEASONING SAUCE WITH REAL COCONUT MILK, WAKANDAN COCONUT RICE","coconut milk"
"FINE SEA SALT","salt"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORGANIC  COCONUT FLOUR","coconut flour"
"WHOLE WHEAT FLOUR","flour"
"LENTILS","lentils"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"SALTED CARAMEL ALMOND FLOUR BLONDIE SOFT BAKED SQUARES, SALTED CARAMEL ALMOND FLOUR BLONDIE","almond flour"
"LITE COCONUT MILK, LITE","coconut milk"
"COCONUT MILK","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CHICKPEAS","chickpeas"
"OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CONFECTIONERS POWDERED SUGAR","sugar"
"POWDERED SUGAR","sugar"
"SWEETENED APPLESAUCE, SWEETENED","applesauce"
"Bob's Red Mill Organic Coconut Flour","coconut flour"
"King Arthur Coconut Flour","coconut flour"
"Nutiva Organic Coconut Flour","coconut flour"
"ORGANIC TOFU","tofu"
"GLUTEN-FREE RICE FLOUR","rice flour"
"TOMATO SAUCE","pizza sauce"
"SALT","salt"
"POWDERED ORGANIC SUGAR, POWDERED","sugar"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN  OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORIGINAL ALMOND FLOUR TORTILLA WRAPS, ALMOND","almond flour"
"GRANULATED SUGAR","sugar"
"POWDERED SUGAR","sugar"
"COARSE KOSHER SALT","salt"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"TEMPEH BUFFALO PRECUT STRIPS","tempeh"
"PINEAPPLE COCONUT MILK, PINEAPPLE","coconut milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"SESAME GINGER FLAVORED EXTRA FIRM TOFU BITES, SESAME GINGER","tofu"
"SEA SALT","salt"
"SUPERFINE BLANCHED ALMOND FLOUR","almond flour"
"WHOLE WHEAT FLOUR","flour"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"WHOLE MILK","milk"
"ALMOND MILK, MCT OIL, MACA, PREBIOTICS VANILLA ESSENTIALS DRINK, VANILLA","almond milk"
"INDIAN SPICED ORGANIC TOFU, INDIAN SPICED","tofu"
"SWEETENED VANILLA ALMOND MILK, SWEETENED VANILLA","almond milk"
"FLAX & SEEDS ALMOND FLOUR KETO TORTILLAS, ALMOND; FLAX & SEED","almond flour"
"CHERMOULA MOROCCAN TOFU CUBES, CHERMOULA MOROCCAN","tofu"
"AVOCADO OIL","oil"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"VANILLA BEAN ALMOND MILK PUDDING, VANILLA BEAN","almond milk"
"VEGETABLE SPRING ROLLS WITH CABBAGE, ONION, CARROT, EDAMAME, TOFU, KALE & SHIITAKE MUSHROOM, VEGETABLE","tofu"
"WHOLE MILK","milk"
"SKIM MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"CONFECTIONERS SUGAR","sugar"
"WHOLE MILK","milk"
"DARK CHOCOLATE ALMOND MILK PUDDING, DARK CHOCOLATE","almond milk"
"PEANUT BUTTER WITH A CHOCOLATEY COCONUT MILKE CENTER DAIRY-FREE FROZEN SNACK BITES, PEANUT BUTTER","coconut milk"
"CONFECTIONERS POWDERED SUGAR","sugar"
"CANOLA OIL","oil"
"WHOLE MILK","milk"
"POWDERED CONFECTIONERS SUGAR","sugar"
"Pure water","water"
"IODIZED SALT","salt"
"MARINARA SAUCE","pizza sauce"
"salt","salt"
"yeast","yeast"
"large eggs","eggs"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"CONFECTIONERS SUGAR","sugar"
"CANOLA OIL","oil"
"WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"WHOLE MILK","milk"
"SEA SALT","salt"
"VEGETABLE OIL","oil"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"VEGETABLE OIL","oil"
"WHOLE MILK","milk"
"1% MILK","milk"
"ORGANIC WHOLE MILK","milk"
"BLANCHED ALMOND FLOUR","almond flour"
"VEGETABLE OIL","oil"
"RAW PUMPKIN SEEDS","pumpkin seeds"
"SUPERFINE BLANCHED ALMOND FLOUR","almond flour"
"GARBANZO BEANS","chickpeas"
"ORGANIC WHOLE MILK","milk"
"PAD THAI NOODLES, BROCCOLI AND TOFU SMOTHERED WITH A TAMARIND PEANUT SAUCE, PAD THAI","tofu"
"COCONUT FLOUR, COCONUT","coconut flour"
"WHOLE MILK","milk"
"GARBANZO BEANS","chickpeas"
"UNSWEETENED DRIED BANANA SLICES, UNSWEETENED","banana"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"GRANULATED SUGAR","sugar"
"GRANULATED SUGAR","sugar"
"UNSWEETENED DRIED BANANA SLICES, UNSWEETENED","banana"
"CONFECTIONERS SUGAR","sugar"
"TAORO COCONUT MILK, 14 FL OZ","coconut milk"
"PUMPKIN SEEDS","pumpkin seeds"
"CHILI RELLENO CASSEROLE ROASTED POBLANOS WITH BLACK BEANS AND TOFU, WITH MONTEREY JACK AND CHEDDAR CHEESE, CHILI RELLENO CASSEROLE","tofu"
"CANOLA OIL","oil"
"MILK","milk"
"VEGETABLE OIL","oil"
"VEGETABLE OIL","oil"
"AVOCADO OIL","oil"
"ALMOND FLOUR TORTILLAS, ALMOND FLOUR","almond flour"
"EXTRA LARGE EGGS","eggs"
"ORGANIC WHOLE MILK","milk"
"WHOLE MILK","milk"
"FINE SEA SALT","salt"
"EGG","eggs"
"WHOLE PEELED EGGS","eggs"
"ORGANIC WHOLE MILK","milk"
"Bob's Red Mill White Rice Flour","rice flour"
"WHOLE MILK","milk"
"King Arthur Rice Flour","rice flour"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"2% MILK","milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"MILK","milk"
"ORGANIC MILK","milk"
"MILK","milk"
"ORGANIC WHOLE MILK","milk"
"SKIM MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"WHOLE MILK","milk"
"oil","oil"
"ORGANIC COCONUT FLOUR","coconut flour"
"LITE COCONUT MILK, LITE","coconut milk"
"ORIGINAL COCONUT MILK NON-DAIRY BEVERAGE, ORIGINAL","coconut milk"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"COCONUT MILK POWDER","coconut milk"
"ORGANIC COCONUT MILK","coconut milk"
"LIGHT ORGANIC COCONUT MILK, LIGHT","coconut milk"
"ORIGINAL COCONUT MILK DRINK, ORIGINA COCONUT","coconut milk"
"VANILLA BEAN COCONUT MILK DIPPED NON-DAIRY FROZEN DESSERT BARS, VANILLA BEAN","coconut milk"
"THAI RED CURRY CHICKEN RED CURRY WITH CHICKEN, BELL PEPPERS AND ONIONS SIMMERED IN COCONUT MILK, GARLIC AND GINGER WITH THAI FRIED RICE COMBO, THAI RED CURRY CHICKEN","coconut milk"
"LECHE DE COCO COCONUT MILK","coconut milk"
"VITARROZ COCONUT MILK, 13.5 FL OZ","coconut milk"
"SOY FREE CHICKPEA TOFU","tofu"
"ORGANIC GLUTEN FREE BROWN RICE FLOUR","rice flour"
"AVOCADO OIL","oil"
"RED LENTILS, RED","lentils"
"ORGANIC COCONUT MILK","coconut milk"
"sugar","sugar"
"eggs","eggs"
"brown sugar","sugar"
"powdered sugar","sugar"
"granulated sugar","sugar"
"whole wheat flour","flour"
"kosher salt","salt"
"sea salt","salt"
"unsalted butter","butter"
"egg","eggs"
"avocado oil","oil"
"coconut oil","oil"
"sunflower oil","oil"
"sesame oil","oil"
"SALTED BUTTER","butter"
"TOFU PREMIUM","tofu"
"WHOLE  MILK","milk"
"ORGANIC WHOLE MILK","milk"
"WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"SHELLED SUNFLOWER SEEDS","sunflower seeds"
"BLANCHED ALMOND FLOUR","almond flour"
"WHOLE WHEAT FLOUR","flour"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"POWDERED CONFECTIONERS SUGAR","sugar"
"PREMIUM ALMOND FLOUR","almond flour"
"CANOLA OIL","oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"CANOLA OIL","oil"
"WHOLE MILK","milk"
"ORGANIC COCONUT FLOUR","coconut flour"
"ORGANIC EXTRA FIRM TOFU","tofu"
"VEGETABLE OIL","oil"
"CACAO SUPERFOOD PROTEIN BLEND SPROUTED ALMOND MILK","almond milk"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"PINK SUGAR, PINK","sugar"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"COCONUT MILK","coconut milk"
"SKIM MILK","milk"
"SUNFLOWER OIL","oil"
"VEGETABLE OIL","oil"
"GARBANZO BEANS","chickpeas"
"POWDERED CONFECTIONERS SUGAR","sugar"
"COCONUT FLOUR","coconut flour"
"LIGHT UNSWEETENED COCONUT MILK, LIGHT UNSWEETENED","coconut milk"
"WHOLE MILK","milk"
"BANANA","banana"
"WHOLE MILK","milk"
"ORGANIC WHOLE MILK","milk"
"SALTED ALMOND MILK CHOCOLATE STYLE BARS, SALTED ALMOND","almond milk"
"PEPPADEW PEPPER SOY FREE CHICKPEA TOFU, PEPPER","tofu"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"SELF-RISING FLOUR","flour"
"FIRM ORGANIC TOFU, FIRM","tofu"
"HULLED SUNFLOWER SEEDS","sunflower seeds"
"ORGANIC TOFU","tofu"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"MILK","milk"
"MILK","milk"
"BLACK LENTILS, BLACK","lentils"
"WHOLE MILK","milk"
"WHOLE WHEAT FLOUR","flour"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"RAW PUMPKIN SEEDS","pumpkin seeds"
"INARI (TOFU) WITH SPICY TUNA, SPICY TUNA","tofu"
"ALMOND MILK & PLANT PROTEIN BEVERAGE, CHOCOLATE","almond milk"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"TOFUTTI BETTER THAN RICOTTA CHEESE, 16 OZ","tofu"
"VANILLA HALF ALMOND MILK & HALF COCONUT CREAM, VANILLA","almond milk"
"RAW PUMPKIN SEEDS","pumpkin seeds"
"KETO TORTILLAS WITH SEA SALT ALMOND FLOUR","almond flour"
"ROSA MARIA COCONUT MILK, 13.5 OZ","coconut milk"
"NON-STICK COOKING SPRAY","cooking spray"
"WHOLE WHEAT FLOUR","flour"
"LENTILS","lentils"
"ORGANIC WHOLE MILK","milk"
"EGGS","eggs"
"UNSALTED BUTTER","butter"
"VEGETABLE OIL","oil"
"WHOLE WHEAT FLOUR","flour"
"BLANCHED ALMOND FLOUR","almond flour"
"POWDERED SUGAR","sugar"
"GENERAL TSO'S TOFU","tofu"
"ALMOND MILK","almond milk"
"APPLESAUCE","applesauce"
"RICE FLOUR","rice flour"
"TOFU","tofu"
"TEMPEH","tempeh"
"POPPY SEEDS","poppy seeds"
"COCONUT OIL","oil"
"SESAME GINGER TOFUBAKED, SESAME; GINGER","tofu"
"WHOLE MILK","milk"
"WHOLE MILK","milk"
"water","water"
"all-purpose flour","flour"
"ALMOND MILK, VANILLA","almond milk"
"RAW HULLED PUMPKIN SEEDS","pumpkin seeds"
"ORGANIC LITE UNSWEETENED COCONUT MILK","coconut milk"
"ORGANIC UNSWEETENED COCONUT MILK","coconut milk"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"UNSWEETENED COCONUT MILK, UNSWEETENED","coconut milk"
"ORGANIC WHOLE MILK","milk"
"MARINARA SAUCE","pizza sauce"
"MARINARA SAUCE","pizza sauce"
"ORGANIC WHOLE MILK","milk"
"COCONUT MILK CHOCOLATE COVERED MACADAMIAS, COCONUT MILK CHOCOLATE","coconut milk"
"EXTRA FIRM TOFU, EXTRA FIRM","tofu"
"TOFU SCRAMBLE BREAKFAST GLUTEN FREE WRAP, TOFU SCRAMBLE BREAKFAST","tofu"
"CANOLA OIL","oil"
"ORGANIC WHOLE MILK","milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"ORGANIC ALMOND MILK WITH CASHEW, ORIGINAL","almond milk"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"EXTRA VIRGIN OLIVE OIL","olive oil"
"VEGETABLE OIL","oil"
"EXTRA VIRGIN  OLIVE OIL","olive oil"
"PINEAPPLE COCONUT MILK DRINK, PINEAPPLE","coconut milk"
"GRANULATED SUGAR","sugar"
"FRESH MILLED ALMOND MILK","almond milk"
"TOASTED SESAME OIL, TOASTED","oil"
"AVOCADO OIL","oil"
"UNSWEETENED APPLESAUCE, UNSWEETENED","applesauce"
"BROWN LENTILS","lentils"
"COARSE KOSHER SALT","salt"
"MARINARA SAUCE","pizza sauce"
"WATER","water"
"AVOCADO OIL","oil"
"Organic Tofu Cutlet 6.5oz (02105) (03305)","tofu"
"TERIYAKI TOFU, TERIYAKI","tofu"
"GARLIC & HERB SEASONED BAKED TOFU CUBES","tofu"
"IODIZED SALT","salt"